Iata No.,Customer No.,Customer Name,Yr/Mo,Bkd. Air,Car,Hotel,Rail,Tour,Cruise,Total
67500672,0010025254,1176630 Ontario Inc,201211,0,0,0,0,0,0,0
96534034,0010025452,1849127 Ontario Limited,201211,27,0,0,0,0,0,27
96517886,0010022757,2265940 Ontario Inc.,201211,118,0,0,0,0,0,118
67591683,0010018628,486651 Ont. Inc,201211,-3,0,0,0,0,0,-3
00843345,0010026407,Aban Tours & Travel,201211,34,0,0,0,0,0,34
00870660,0090018850,Aban Tours & Travel,201211,1,0,0,0,0,0,1
67504581,0010012327,Aban Travel Inc.,201211,-23,0,0,0,0,0,-23
00831935,0010024151,Academy Travel Services Inc,201211,193,0,0,0,0,0,193
67505362,0010015126,Accurate Travel & Tours,201211,-1,0,0,0,0,0,-1
00902753,0010025252,ACTIVE TRAVEL LTD,201211,76,0,0,0,0,0,76
96504800,0010017731,Admiralty Travel,201211,11,0,0,0,0,0,11
00892430,0010025140,AIRSONIC TRAVEL AND TOURS,201211,49,0,0,0,0,0,49
00915644,0010025451,AIR-WORLD TOUR & TRAVEL,201211,220,0,0,0,0,0,220
00781012,0090017805,All In One Travel Services Ltd,201211,28,0,0,0,0,0,28
96514810,0010011464,All In One Travel Services Ltd,201211,534,0,1,0,155,0,690
00885301,0010017410,All Link International Travel,201211,69,0,0,0,0,0,69
00833221,0010026222,All Link Travel Inc.,201211,236,0,0,0,0,0,236
67505071,0010011113,All Link Travel Inc.,201211,"2,387",0,0,0,0,0,"2,387"
96516722,0010011455,Amazing Intl Travel,201211,108,0,0,0,2,0,110
00846532,0010019073,America Asia,201211,2,0,0,0,0,0,2
00871780,0010024540,Aoyee Royal International Travel,201211,109,0,0,0,2,0,111
67505012,0010016674,Arcan Travel & Tours,201211,2,0,0,0,0,0,2
00888845,0090015724,Aseman Travel,201211,21,0,0,0,0,0,21
67504673,0010011465,Aseman Travel,201211,436,0,0,0,0,0,436
00856645,0010011025,Asian Travel Alliance Inc,201211,29,0,0,0,0,0,29
96500530,0010015065,Asia Pacific Travel,201211,69,0,0,0,0,0,69
96516324,0010010980,ATA Vacations Inc.,201211,6,0,0,0,0,0,6
00867790,0090016956,Atlas Travel & Holidays,201211,4,0,0,0,0,0,4
00867812,0090016957,Atlas Travel & Holidays,201211,19,0,0,0,0,0,19
00867834,0090016955,Atlas Travel & Holidays,201211,66,0,0,0,0,0,66
00885673,0090015698,Atlas Travel & Holidays,201211,-4,0,0,0,0,0,-4
